avgPercent,secPercent,safPercent
1,1,1
0.8333333333333334,1,0.75
0,0,0
0.5,1,0.25
0.8333333333333334,1,0.75
0.6666666666666666,0.5,0.75
0.8333333333333334,0.5,1
0.3333333333333333,0.5,0.25
1,1,1
0.6666666666666666,1,0.5
1,1,1
1,1,1
0.3333333333333333,0.5,0.25
1,1,1
0.8333333333333334,1,0.75
0.6666666666666666,0.5,0.75
1,1,1
0.6666666666666666,1,0.5
0.6666666666666666,1,0.5
0.5,0.5,0.5
0.6666666666666666,0.5,0.75
0.6666666666666666,0.5,0.75
0.8333333333333334,1,0.75
1,1,1
0.8333333333333334,1,0.75
0.3333333333333333,0.5,0.25
0.5,0.5,0.5
0.8333333333333334,1,0.75
